Date,Target,Source
31 May 1915,Eoin MacNeill,Tom Clarke
31 May 1915,Thomas Byrne,Tom Clarke
31 May 1915,Frank Fahy,Tom Clarke
31 May 1915,George Irvine,Tom Clarke
31 May 1915,Seán T. O'Kelly,Tom Clarke
31 May 1915,Irish Volunteers,Joseph McGuinness
31 May 1915,Frank Dineen,J.J. Walsh
31 May 1915,J.J. Walsh,L.J. O'Toole
31 May 1915,J.J. Walsh,Michael McCartan
1 June 1915,J.J. Farrelly,Tom Clarke
1 June 1915,John MacBride,Tom Clarke
1 June 1915,Tom Clarke,William O'Leary Curtis
1 June 1915,John MacBride,William O'Leary Curtis
1 June 1915,Thomas Byrne,Tom Clarke
1 June 1915,Frank Fahy,Tom Clarke
1 June 1915,Seán T. O'Kelly,Tom Clarke
1 June 1915,Frank Fahy,Seán T. O'Kelly
1 June 1915,Thomas MacDonagh,Tom Clarke
1 June 1915,Bulmer Hobson,J.J. O'Connell
1 June 1915,Bulmer Hobson,Patrick Ryan
1 June 1915,Bulmer Hobson,Michael O'Hanrahan
1 June 1915,J.J. O'Connell,Patrick Ryan
1 June 1915,J.J. O'Connell,Michael O'Hanrahan
1 June 1915,Michael O'Hanrahan,Patrick Ryan
1 June 1915,B.J. Fagan,Patrick Ryan
1 June 1915,J.J. Walsh,Michael Lynch
1 June 1915,J.J. Walsh,Michael McCartan
1 June 1915,J.J. Walsh,Patrick Walsh
1 June 1915,J.J. Walsh,L.J. O'Toole
2 June 1915,Thomas Byrne,Tom Clarke
2 June 1915,Tom Clarke,William O'Leary Curtis
2 June 1915,Thomas Byrne,William O'Leary Curtis
2 June 1915,Seán T. O'Kelly,Tom Clarke
2 June 1915,Arthur Griffith,Tom Clarke
2 June 1915,John MacBride,Tom Clarke
2 June 1915,John MacBride,Seán T. O'Kelly
2 June 1915,John MacBride,Liam Mellows
2 June 1915,John MacBride,Joseph McGuinness
2 June 1915,John MacBride,Rev. F. Pollard
2 June 1915,John MacBride,Seán MacDiarmada
2 June 1915,John MacBride,Seán Milroy
2 June 1915,Liam Mellows,Tom Clarke
2 June 1915,Joseph McGuinness,Tom Clarke
2 June 1915,Rev. F. Pollard,Tom Clarke
2 June 1915,Seán MacDiarmada,Tom Clarke
2 June 1915,Seán Milroy,Tom Clarke
2 June 1915,Liam Mellows,Seán T. O'Kelly
2 June 1915,Joseph McGuinness,Seán T. O'Kelly
2 June 1915,Rev. F. Pollard,Seán T. O'Kelly
2 June 1915,Seán MacDiarmada,Seán T. O'Kelly
2 June 1915,Seán Milroy,Seán T. O'Kelly
2 June 1915,Joseph McGuinness,Liam Mellows
2 June 1915,Liam Mellows,Rev. F. Pollard
2 June 1915,Liam Mellows,Seán MacDiarmada
2 June 1915,Liam Mellows,Seán Milroy
2 June 1915,Joseph McGuinness,Rev. F. Pollard
2 June 1915,Joseph McGuinness,Seán MacDiarmada
2 June 1915,Joseph McGuinness,Seán Milroy
2 June 1915,Rev. F. Pollard,Seán MacDiarmada
2 June 1915,Rev. F. Pollard,Seán Milroy
2 June 1915,Seán MacDiarmada,Seán Milroy
2 June 1915,Seán O'Hegarty,The O'Rahilly
2 June 1915,James Bolger,Seán O'Hegarty
2 June 1915,James Bolger,The O'Rahilly
2 June 1915,Con Collins,Patrick O'Keeffe
2 June 1915,Bulmer Hobson,Thomas MacDonagh
2 June 1915,Bulmer Hobson,Piaras Béaslaí
2 June 1915,Bulmer Hobson,Éamonn Ceannt
2 June 1915,Bulmer Hobson,John Fitzgibbon
2 June 1915,Bulmer Hobson,Patrick Ryan
2 June 1915,Bulmer Hobson,Con Colbert
2 June 1915,Bulmer Hobson,L. Moran
2 June 1915,Piaras Béaslaí,Thomas MacDonagh
2 June 1915,Thomas MacDonagh,Éamonn Ceannt
2 June 1915,John Fitzgibbon,Thomas MacDonagh
2 June 1915,Patrick Ryan,Thomas MacDonagh
2 June 1915,Con Colbert,Thomas MacDonagh
2 June 1915,L. Moran,Thomas MacDonagh
2 June 1915,Piaras Béaslaí,Éamonn Ceannt
2 June 1915,John Fitzgibbon,Piaras Béaslaí
2 June 1915,Patrick Ryan,Piaras Béaslaí
2 June 1915,Con Colbert,Piaras Béaslaí
2 June 1915,L. Moran,Piaras Béaslaí
2 June 1915,John Fitzgibbon,Éamonn Ceannt
2 June 1915,Patrick Ryan,Éamonn Ceannt
2 June 1915,Con Colbert,Éamonn Ceannt
2 June 1915,L. Moran,Éamonn Ceannt
2 June 1915,John Fitzgibbon,Patrick Ryan
2 June 1915,Con Colbert,John Fitzgibbon
2 June 1915,John Fitzgibbon,L. Moran
2 June 1915,Con Colbert,Patrick Ryan
2 June 1915,L. Moran,Patrick Ryan
2 June 1915,Con Colbert,L. Moran
2 June 1915,Irish Volunteers,J. O'Connor
2 June 1915,J.J. Walsh,James Whelan
3 June 1915,Thomas Byrne,Tom Clarke
3 June 1915,Con Colbert,Tom Clarke
3 June 1915,J.J. Farrelly,Tom Clarke
3 June 1915,Con Colbert,Thomas Byrne
3 June 1915,J.J. Farrelly,Thomas Byrne
3 June 1915,Con Colbert,J.J. Farrelly
3 June 1915,Frank Fahy,Tom Clarke
3 June 1915,Piaras Béaslaí,Tom Clarke
3 June 1915,George Irvine,Tom Clarke
3 June 1915,Frank Fahy,Piaras Béaslaí
3 June 1915,Frank Fahy,George Irvine
3 June 1915,George Irvine,Piaras Béaslaí
3 June 1915,J.J. Walsh,Seán T. O'Kelly
3 June 1915,Irish Volunteers,Piaras Béaslaí
3 June 1915,Frank Fahy,Irish Volunteers
3 June 1915,J.J. Walsh,Mr. Wallace
3 June 1915,J.J. Walsh,Seán T. O'Kelly
3 June 1915,J.J. Walsh,Michael McCartan
3 June 1915,J.J. Walsh,Michael McCartan
3 June 1915,J.J. Walsh,Michael McCartan
4 June 1915,George Irvine,Tom Clarke
4 June 1915,Thomas Byrne,Tom Clarke
4 June 1915,John MacBride,Tom Clarke
4 June 1915,Piaras Béaslaí,Tom Clarke
4 June 1915,Patrick Tobin,Tom Clarke
4 June 1915,Con Colbert,Tom Clarke
4 June 1915,Miss Bolger,Tom Clarke
4 June 1915,John MacBride,Thomas Byrne
4 June 1915,Piaras Béaslaí,Thomas Byrne
4 June 1915,Patrick Tobin,Thomas Byrne
4 June 1915,Con Colbert,Thomas Byrne
4 June 1915,Miss Bolger,Thomas Byrne
4 June 1915,John MacBride,Piaras Béaslaí
4 June 1915,John MacBride,Patrick Tobin
4 June 1915,Con Colbert,John MacBride
4 June 1915,John MacBride,Miss Bolger
4 June 1915,Patrick Tobin,Piaras Béaslaí
4 June 1915,Con Colbert,Piaras Béaslaí
4 June 1915,Miss Bolger,Piaras Béaslaí
4 June 1915,Con Colbert,Patrick Tobin
4 June 1915,Miss Bolger,Patrick Tobin
4 June 1915,Con Colbert,Miss Bolger
4 June 1915,J.J. Walsh,Patrick Walsh
5 June 1915,John Fitzgibbon,Tom Clarke
5 June 1915,Thomas Byrne,Tom Clarke
5 June 1915,Patrick Tobin,Tom Clarke
5 June 1915,Patrick Tobin,Thomas Byrne
5 June 1915,Seán T. O'Kelly,Tom Clarke
5 June 1915,Arthur Griffith,Tom Clarke
5 June 1915,Tom Clarke,William O'Leary Curtis
5 June 1915,Arthur Griffith,William O'Leary Curtis
5 June 1915,Bulmer Hobson,The O'Rahilly
5 June 1915,Con Collins,Patrick O'Keeffe
5 June 1915,J.J. Walsh,Thomas Byrne
6 June 1915,Thomas Byrne,Tom Clarke
6 June 1915,Charles Wyse Power,Tom Clarke
6 June 1915,J. O'Connor,Tom Clarke
6 June 1915,J.J. Walsh,Tom Clarke
6 June 1915,Michael McCartan,Tom Clarke
6 June 1915,Charles Wyse Power,Thomas Byrne
6 June 1915,J. O'Connor,Thomas Byrne
6 June 1915,J.J. Walsh,Thomas Byrne
6 June 1915,Michael McCartan,Thomas Byrne
6 June 1915,Charles Wyse Power,J. O'Connor
6 June 1915,Charles Wyse Power,J.J. Walsh
6 June 1915,Charles Wyse Power,Michael McCartan
6 June 1915,J. O'Connor,J.J. Walsh
6 June 1915,J. O'Connor,Michael McCartan
6 June 1915,J.J. Walsh,Michael McCartan
6 June 1915,Terence MacSwiney,Tom Clarke
6 June 1915,Con Collins,Patrick O'Keeffe
6 June 1915,Hugh O'Hehir,Patrick O'Keeffe
6 June 1915,Con Collins,Hugh O'Hehir
6 June 1915,Miss Burke Dowling,Miss Cahalan
7 June 1915,John MacBride,Tom Clarke
7 June 1915,Patrick Ryan,Tom Clarke
7 June 1915,John MacBride,Éamonn Ceannt
7 June 1915,John MacBride,Piaras Béaslaí
7 June 1915,John MacBride,Joseph McGuinness
7 June 1915,John MacBride,M.J. Pender
7 June 1915,John MacBride,Seán T. O'Kelly
7 June 1915,B.J. Fagan,John MacBride
7 June 1915,John MacBride,Richard O'Carroll
7 June 1915,James Whelan,John MacBride
7 June 1915,J.J. Walsh,John MacBride
7 June 1915,Daniel McCarthy,John MacBride
7 June 1915,John MacBride,Michael Lynch
7 June 1915,Hanna Sheehy-Skeffington,John MacBride
7 June 1915,John MacBride,Seán O'Hegarty
7 June 1915,James Bolger,John MacBride
7 June 1915,Piaras Béaslaí,Éamonn Ceannt
7 June 1915,Joseph McGuinness,Éamonn Ceannt
7 June 1915,M.J. Pender,Éamonn Ceannt
7 June 1915,Seán T. O'Kelly,Éamonn Ceannt
7 June 1915,B.J. Fagan,Éamonn Ceannt
7 June 1915,Richard O'Carroll,Éamonn Ceannt
7 June 1915,James Whelan,Éamonn Ceannt
7 June 1915,J.J. Walsh,Éamonn Ceannt
7 June 1915,Daniel McCarthy,Éamonn Ceannt
7 June 1915,Michael Lynch,Éamonn Ceannt
7 June 1915,Hanna Sheehy-Skeffington,Éamonn Ceannt
7 June 1915,Seán O'Hegarty,Éamonn Ceannt
7 June 1915,James Bolger,Éamonn Ceannt
7 June 1915,Joseph McGuinness,Piaras Béaslaí
7 June 1915,M.J. Pender,Piaras Béaslaí
7 June 1915,Piaras Béaslaí,Seán T. O'Kelly
7 June 1915,B.J. Fagan,Piaras Béaslaí
7 June 1915,Piaras Béaslaí,Richard O'Carroll
7 June 1915,James Whelan,Piaras Béaslaí
7 June 1915,J.J. Walsh,Piaras Béaslaí
7 June 1915,Daniel McCarthy,Piaras Béaslaí
7 June 1915,Michael Lynch,Piaras Béaslaí
7 June 1915,Hanna Sheehy-Skeffington,Piaras Béaslaí
7 June 1915,Piaras Béaslaí,Seán O'Hegarty
7 June 1915,James Bolger,Piaras Béaslaí
7 June 1915,Joseph McGuinness,M.J. Pender
7 June 1915,Joseph McGuinness,Seán T. O'Kelly
7 June 1915,B.J. Fagan,Joseph McGuinness
7 June 1915,Joseph McGuinness,Richard O'Carroll
7 June 1915,James Whelan,Joseph McGuinness
7 June 1915,J.J. Walsh,Joseph McGuinness
7 June 1915,Daniel McCarthy,Joseph McGuinness
7 June 1915,Joseph McGuinness,Michael Lynch
7 June 1915,Hanna Sheehy-Skeffington,Joseph McGuinness
7 June 1915,Joseph McGuinness,Seán O'Hegarty
7 June 1915,James Bolger,Joseph McGuinness
7 June 1915,M.J. Pender,Seán T. O'Kelly
7 June 1915,B.J. Fagan,M.J. Pender
7 June 1915,M.J. Pender,Richard O'Carroll
7 June 1915,James Whelan,M.J. Pender
7 June 1915,J.J. Walsh,M.J. Pender
7 June 1915,Daniel McCarthy,M.J. Pender
7 June 1915,M.J. Pender,Michael Lynch
7 June 1915,Hanna Sheehy-Skeffington,M.J. Pender
7 June 1915,M.J. Pender,Seán O'Hegarty
7 June 1915,James Bolger,M.J. Pender
7 June 1915,B.J. Fagan,Seán T. O'Kelly
7 June 1915,Richard O'Carroll,Seán T. O'Kelly
7 June 1915,James Whelan,Seán T. O'Kelly
7 June 1915,J.J. Walsh,Seán T. O'Kelly
7 June 1915,Daniel McCarthy,Seán T. O'Kelly
7 June 1915,Michael Lynch,Seán T. O'Kelly
7 June 1915,Hanna Sheehy-Skeffington,Seán T. O'Kelly
7 June 1915,Seán O'Hegarty,Seán T. O'Kelly
7 June 1915,James Bolger,Seán T. O'Kelly
7 June 1915,B.J. Fagan,Richard O'Carroll
7 June 1915,B.J. Fagan,James Whelan
7 June 1915,B.J. Fagan,J.J. Walsh
7 June 1915,B.J. Fagan,Daniel McCarthy
7 June 1915,B.J. Fagan,Michael Lynch
7 June 1915,B.J. Fagan,Hanna Sheehy-Skeffington
7 June 1915,B.J. Fagan,Seán O'Hegarty
7 June 1915,B.J. Fagan,James Bolger
7 June 1915,James Whelan,Richard O'Carroll
7 June 1915,J.J. Walsh,Richard O'Carroll
7 June 1915,Daniel McCarthy,Richard O'Carroll
7 June 1915,Michael Lynch,Richard O'Carroll
7 June 1915,Hanna Sheehy-Skeffington,Richard O'Carroll
7 June 1915,Richard O'Carroll,Seán O'Hegarty
7 June 1915,James Bolger,Richard O'Carroll
7 June 1915,J.J. Walsh,James Whelan
7 June 1915,Daniel McCarthy,James Whelan
7 June 1915,James Whelan,Michael Lynch
7 June 1915,Hanna Sheehy-Skeffington,James Whelan
7 June 1915,James Whelan,Seán O'Hegarty
7 June 1915,James Bolger,James Whelan
7 June 1915,Daniel McCarthy,J.J. Walsh
7 June 1915,J.J. Walsh,Michael Lynch
7 June 1915,Hanna Sheehy-Skeffington,J.J. Walsh
7 June 1915,J.J. Walsh,Seán O'Hegarty
7 June 1915,J.J. Walsh,James Bolger
7 June 1915,Daniel McCarthy,Michael Lynch
7 June 1915,Daniel McCarthy,Hanna Sheehy-Skeffington
7 June 1915,Daniel McCarthy,Seán O'Hegarty
7 June 1915,Daniel McCarthy,James Bolger
7 June 1915,Hanna Sheehy-Skeffington,Michael Lynch
7 June 1915,Michael Lynch,Seán O'Hegarty
7 June 1915,James Bolger,Michael Lynch
7 June 1915,Hanna Sheehy-Skeffington,Seán O'Hegarty
7 June 1915,Hanna Sheehy-Skeffington,James Bolger
7 June 1915,James Bolger,Seán O'Hegarty
7 June 1915,B. McCarthy,J.J. Walsh
7 June 1915,J.J. Walsh,Michael McCartan
8 June 1915,James Murray,Tom Clarke
8 June 1915,Tom Clarke,William O'Leary Curtis
8 June 1915,James Connolly,James Whelan
8 June 1915,James Whelan,Richard O'Carroll
8 June 1915,James Connolly,Richard O'Carroll
9 June 1915,John O'Mahony,Tom Clarke
9 June 1915,Thomas Byrne,Tom Clarke
9 June 1915,Tom Clarke,William O'Leary Curtis
9 June 1915,Francis Sheehy-Skeffington,Seán MacDiarmada
9 June 1915,Francis Sheehy-Skeffington,Seán Milroy
9 June 1915,Seán MacDiarmada,Seán Milroy
9 June 1915,B.J. Fagan,Tom Clarke
9 June 1915,Piaras Béaslaí,Tom Clarke
9 June 1915,James Connolly,Tom Clarke
9 June 1915,Thomas Byrne,Tom Clarke
9 June 1915,Philip A. Sargent,Tom Clarke
9 June 1915,Michael McGinn,Tom Clarke
9 June 1915,John MacBride,Tom Clarke
9 June 1915,James Whelan,Tom Clarke
9 June 1915,P.F. O'Loughlin,Tom Clarke
9 June 1915,John O'Mahony,Tom Clarke
9 June 1915,Joseph McGuinness,Tom Clarke
9 June 1915,Tom Clarke,William O'Leary Curtis
9 June 1915,Seán T. O'Kelly,Tom Clarke
9 June 1915,Patrick O'Keeffe,Tom Clarke
9 June 1915,Tom Clarke,Éamonn Ceannt
9 June 1915,Liam Mellows,Tom Clarke
9 June 1915,Francis Sheehy-Skeffington,Tom Clarke
9 June 1915,Seán MacDiarmada,Tom Clarke
9 June 1915,Seán Milroy,Tom Clarke
9 June 1915,B.J. Fagan,Piaras Béaslaí
9 June 1915,B.J. Fagan,James Connolly
9 June 1915,B.J. Fagan,Thomas Byrne
9 June 1915,B.J. Fagan,Philip A. Sargent
9 June 1915,B.J. Fagan,Michael McGinn
9 June 1915,B.J. Fagan,John MacBride
9 June 1915,B.J. Fagan,James Whelan
9 June 1915,B.J. Fagan,P.F. O'Loughlin
9 June 1915,B.J. Fagan,John O'Mahony
9 June 1915,B.J. Fagan,Joseph McGuinness
9 June 1915,B.J. Fagan,William O'Leary Curtis
9 June 1915,B.J. Fagan,Seán T. O'Kelly
9 June 1915,B.J. Fagan,Patrick O'Keeffe
9 June 1915,B.J. Fagan,Éamonn Ceannt
9 June 1915,B.J. Fagan,Liam Mellows
9 June 1915,B.J. Fagan,Francis Sheehy-Skeffington
9 June 1915,B.J. Fagan,Seán MacDiarmada
9 June 1915,B.J. Fagan,Seán Milroy
9 June 1915,James Connolly,Piaras Béaslaí
9 June 1915,Piaras Béaslaí,Thomas Byrne
9 June 1915,Philip A. Sargent,Piaras Béaslaí
9 June 1915,Michael McGinn,Piaras Béaslaí
9 June 1915,John MacBride,Piaras Béaslaí
9 June 1915,James Whelan,Piaras Béaslaí
9 June 1915,P.F. O'Loughlin,Piaras Béaslaí
9 June 1915,John O'Mahony,Piaras Béaslaí
9 June 1915,Joseph McGuinness,Piaras Béaslaí
9 June 1915,Piaras Béaslaí,William O'Leary Curtis
9 June 1915,Piaras Béaslaí,Seán T. O'Kelly
9 June 1915,Patrick O'Keeffe,Piaras Béaslaí
9 June 1915,Piaras Béaslaí,Éamonn Ceannt
9 June 1915,Liam Mellows,Piaras Béaslaí
9 June 1915,Francis Sheehy-Skeffington,Piaras Béaslaí
9 June 1915,Piaras Béaslaí,Seán MacDiarmada
9 June 1915,Piaras Béaslaí,Seán Milroy
9 June 1915,James Connolly,Thomas Byrne
9 June 1915,James Connolly,Philip A. Sargent
9 June 1915,James Connolly,Michael McGinn
9 June 1915,James Connolly,John MacBride
9 June 1915,James Connolly,James Whelan
9 June 1915,James Connolly,P.F. O'Loughlin
9 June 1915,James Connolly,John O'Mahony
9 June 1915,James Connolly,Joseph McGuinness
9 June 1915,James Connolly,William O'Leary Curtis
9 June 1915,James Connolly,Seán T. O'Kelly
9 June 1915,James Connolly,Patrick O'Keeffe
9 June 1915,James Connolly,Éamonn Ceannt
9 June 1915,James Connolly,Liam Mellows
9 June 1915,Francis Sheehy-Skeffington,James Connolly
9 June 1915,James Connolly,Seán MacDiarmada
9 June 1915,James Connolly,Seán Milroy
9 June 1915,Philip A. Sargent,Thomas Byrne
9 June 1915,Michael McGinn,Thomas Byrne
9 June 1915,John MacBride,Thomas Byrne
9 June 1915,James Whelan,Thomas Byrne
9 June 1915,P.F. O'Loughlin,Thomas Byrne
9 June 1915,John O'Mahony,Thomas Byrne
9 June 1915,Joseph McGuinness,Thomas Byrne
9 June 1915,Thomas Byrne,William O'Leary Curtis
9 June 1915,Seán T. O'Kelly,Thomas Byrne
9 June 1915,Patrick O'Keeffe,Thomas Byrne
9 June 1915,Thomas Byrne,Éamonn Ceannt
9 June 1915,Liam Mellows,Thomas Byrne
9 June 1915,Francis Sheehy-Skeffington,Thomas Byrne
9 June 1915,Seán MacDiarmada,Thomas Byrne
9 June 1915,Seán Milroy,Thomas Byrne
9 June 1915,Michael McGinn,Philip A. Sargent
9 June 1915,John MacBride,Philip A. Sargent
9 June 1915,James Whelan,Philip A. Sargent
9 June 1915,P.F. O'Loughlin,Philip A. Sargent
9 June 1915,John O'Mahony,Philip A. Sargent
9 June 1915,Joseph McGuinness,Philip A. Sargent
9 June 1915,Philip A. Sargent,William O'Leary Curtis
9 June 1915,Philip A. Sargent,Seán T. O'Kelly
9 June 1915,Patrick O'Keeffe,Philip A. Sargent
9 June 1915,Philip A. Sargent,Éamonn Ceannt
9 June 1915,Liam Mellows,Philip A. Sargent
9 June 1915,Francis Sheehy-Skeffington,Philip A. Sargent
9 June 1915,Philip A. Sargent,Seán MacDiarmada
9 June 1915,Philip A. Sargent,Seán Milroy
9 June 1915,John MacBride,Michael McGinn
9 June 1915,James Whelan,Michael McGinn
9 June 1915,Michael McGinn,P.F. O'Loughlin
9 June 1915,John O'Mahony,Michael McGinn
9 June 1915,Joseph McGuinness,Michael McGinn
9 June 1915,Michael McGinn,William O'Leary Curtis
9 June 1915,Michael McGinn,Seán T. O'Kelly
9 June 1915,Michael McGinn,Patrick O'Keeffe
9 June 1915,Michael McGinn,Éamonn Ceannt
9 June 1915,Liam Mellows,Michael McGinn
9 June 1915,Francis Sheehy-Skeffington,Michael McGinn
9 June 1915,Michael McGinn,Seán MacDiarmada
9 June 1915,Michael McGinn,Seán Milroy
9 June 1915,James Whelan,John MacBride
9 June 1915,John MacBride,P.F. O'Loughlin
9 June 1915,John MacBride,John O'Mahony
9 June 1915,John MacBride,Joseph McGuinness
9 June 1915,John MacBride,William O'Leary Curtis
9 June 1915,John MacBride,Seán T. O'Kelly
9 June 1915,John MacBride,Patrick O'Keeffe
9 June 1915,John MacBride,Éamonn Ceannt
9 June 1915,John MacBride,Liam Mellows
9 June 1915,Francis Sheehy-Skeffington,John MacBride
9 June 1915,John MacBride,Seán MacDiarmada
9 June 1915,John MacBride,Seán Milroy
9 June 1915,James Whelan,P.F. O'Loughlin
9 June 1915,James Whelan,John O'Mahony
9 June 1915,James Whelan,Joseph McGuinness
9 June 1915,James Whelan,William O'Leary Curtis
9 June 1915,James Whelan,Seán T. O'Kelly
9 June 1915,James Whelan,Patrick O'Keeffe
9 June 1915,James Whelan,Éamonn Ceannt
9 June 1915,James Whelan,Liam Mellows
9 June 1915,Francis Sheehy-Skeffington,James Whelan
9 June 1915,James Whelan,Seán MacDiarmada
9 June 1915,James Whelan,Seán Milroy
9 June 1915,John O'Mahony,P.F. O'Loughlin
9 June 1915,Joseph McGuinness,P.F. O'Loughlin
9 June 1915,P.F. O'Loughlin,William O'Leary Curtis
9 June 1915,P.F. O'Loughlin,Seán T. O'Kelly
9 June 1915,P.F. O'Loughlin,Patrick O'Keeffe
9 June 1915,P.F. O'Loughlin,Éamonn Ceannt
9 June 1915,Liam Mellows,P.F. O'Loughlin
9 June 1915,Francis Sheehy-Skeffington,P.F. O'Loughlin
9 June 1915,P.F. O'Loughlin,Seán MacDiarmada
9 June 1915,P.F. O'Loughlin,Seán Milroy
9 June 1915,John O'Mahony,Joseph McGuinness
9 June 1915,John O'Mahony,William O'Leary Curtis
9 June 1915,John O'Mahony,Seán T. O'Kelly
9 June 1915,John O'Mahony,Patrick O'Keeffe
9 June 1915,John O'Mahony,Éamonn Ceannt
9 June 1915,John O'Mahony,Liam Mellows
9 June 1915,Francis Sheehy-Skeffington,John O'Mahony
9 June 1915,John O'Mahony,Seán MacDiarmada
9 June 1915,John O'Mahony,Seán Milroy
9 June 1915,Joseph McGuinness,William O'Leary Curtis
9 June 1915,Joseph McGuinness,Seán T. O'Kelly
9 June 1915,Joseph McGuinness,Patrick O'Keeffe
9 June 1915,Joseph McGuinness,Éamonn Ceannt
9 June 1915,Joseph McGuinness,Liam Mellows
9 June 1915,Francis Sheehy-Skeffington,Joseph McGuinness
9 June 1915,Joseph McGuinness,Seán MacDiarmada
9 June 1915,Joseph McGuinness,Seán Milroy
9 June 1915,Seán T. O'Kelly,William O'Leary Curtis
9 June 1915,Patrick O'Keeffe,William O'Leary Curtis
9 June 1915,William O'Leary Curtis,Éamonn Ceannt
9 June 1915,Liam Mellows,William O'Leary Curtis
9 June 1915,Francis Sheehy-Skeffington,William O'Leary Curtis
9 June 1915,Seán MacDiarmada,William O'Leary Curtis
9 June 1915,Seán Milroy,William O'Leary Curtis
9 June 1915,Patrick O'Keeffe,Seán T. O'Kelly
9 June 1915,Seán T. O'Kelly,Éamonn Ceannt
9 June 1915,Liam Mellows,Seán T. O'Kelly
9 June 1915,Francis Sheehy-Skeffington,Seán T. O'Kelly
9 June 1915,Seán MacDiarmada,Seán T. O'Kelly
9 June 1915,Seán Milroy,Seán T. O'Kelly
9 June 1915,Patrick O'Keeffe,Éamonn Ceannt
9 June 1915,Liam Mellows,Patrick O'Keeffe
9 June 1915,Francis Sheehy-Skeffington,Patrick O'Keeffe
9 June 1915,Patrick O'Keeffe,Seán MacDiarmada
9 June 1915,Patrick O'Keeffe,Seán Milroy
9 June 1915,Liam Mellows,Éamonn Ceannt
9 June 1915,Francis Sheehy-Skeffington,Éamonn Ceannt
9 June 1915,Seán MacDiarmada,Éamonn Ceannt
9 June 1915,Seán Milroy,Éamonn Ceannt
9 June 1915,Francis Sheehy-Skeffington,Liam Mellows
9 June 1915,Liam Mellows,Seán MacDiarmada
9 June 1915,Liam Mellows,Seán Milroy
9 June 1915,Bulmer Hobson,P.H. Pearse
9 June 1915,Bulmer Hobson,Piaras Béaslaí
9 June 1915,P.H. Pearse,Piaras Béaslaí
9 June 1915,Irish Volunteers,Thomas MacDonagh
10 June 1915,Piaras Béaslaí,Tom Clarke
10 June 1915,Tom Clarke,Éamonn Ceannt
10 June 1915,Con Colbert,Tom Clarke
10 June 1915,Liam Mellows,Tom Clarke
10 June 1915,Piaras Béaslaí,Éamonn Ceannt
10 June 1915,Con Colbert,Piaras Béaslaí
10 June 1915,Liam Mellows,Piaras Béaslaí
10 June 1915,Con Colbert,Éamonn Ceannt
10 June 1915,Liam Mellows,Éamonn Ceannt
10 June 1915,Con Colbert,Liam Mellows
10 June 1915,Thomas Byrne,Tom Clarke
10 June 1915,J.J. Buggy,Tom Clarke
10 June 1915,Seán T. O'Kelly,Tom Clarke
10 June 1915,Constance Markievicz,Tom Clarke
10 June 1915,J.J. Buggy,Thomas Byrne
10 June 1915,Seán T. O'Kelly,Thomas Byrne
10 June 1915,Constance Markievicz,Thomas Byrne
10 June 1915,J.J. Buggy,Seán T. O'Kelly
10 June 1915,Constance Markievicz,J.J. Buggy
10 June 1915,Constance Markievicz,Seán T. O'Kelly
10 June 1915,Tom Clarke,William O'Leary Curtis
10 June 1915,Bulmer Hobson,Herbert Mellows
10 June 1915,Con Colbert,John Fitzgibbon
10 June 1915,Frank Fahy,Irish Volunteers
10 June 1915,David Donovan,J.J. Walsh
10 June 1915,J.J. Walsh,L.J. O'Toole
10 June 1915,David Donovan,L.J. O'Toole
10 June 1915,J.J. Walsh,Patrick Walsh
12 June 1915,Ben Parsons,Tom Clarke
12 June 1915,Cathal Kickham,Tom Clarke
12 June 1915,Ben Parsons,Cathal Kickham
12 June 1915,Seán T. O'Kelly,Tom Clarke
12 June 1915,Herbert Mellows,Tom Clarke
12 June 1915,Con Collins,Hugh O'Hehir
12 June 1915,J.J. Walsh,Patrick Semple
13 June 1915,J.J. Buggy,Tom Clarke
13 June 1915,Seán T. O'Kelly,Tom Clarke
13 June 1915,J.J. Buggy,Seán T. O'Kelly
13 June 1915,J.J. Walsh,Patrick Walsh
13 June 1915,Hanna Sheehy-Skeffington,Miss Burke Dowling
14 June 1915,Thomas Byrne,Tom Clarke
14 June 1915,Seán T. O'Kelly,Tom Clarke
14 June 1915,Seán T. O'Kelly,Thomas Byrne
14 June 1915,Piaras Béaslaí,Tom Clarke
14 June 1915,Tom Clarke,William O'Leary Curtis
14 June 1915,Piaras Béaslaí,William O'Leary Curtis
14 June 1915,J.J. Farrelly,Tom Clarke
14 June 1915,J. McNamara,Tom Clarke
14 June 1915,J. McNamara,J.J. Farrelly
14 June 1915,Bulmer Hobson,Herbert Mellows
14 June 1915,David Donovan,J.J. Walsh
14 June 1915,J.J. Walsh,Patrick Walsh
14 June 1915,David Donovan,Patrick Walsh
17 June 1915,Thomas Byrne,Tom Clarke
17 June 1915,Joseph W. Kenny,Tom Clarke
17 June 1915,Seán T. O'Kelly,Tom Clarke
17 June 1915,Ben Parsons,Tom Clarke
17 June 1915,George Irvine,Tom Clarke
17 June 1915,Tom Clarke,William O'Leary Curtis
17 June 1915,Ben Parsons,Seán T. O'Kelly
17 June 1915,George Irvine,Seán T. O'Kelly
17 June 1915,Seán T. O'Kelly,William O'Leary Curtis
17 June 1915,Ben Parsons,George Irvine
17 June 1915,Ben Parsons,William O'Leary Curtis
17 June 1915,George Irvine,William O'Leary Curtis
17 June 1915,Piaras Béaslaí,Tom Clarke
17 June 1915,J.J. Farrelly,Tom Clarke
